"","GSP1","COS1","GSP2","COS2","GSP3","COS3","GSP4","COS4","GSP5","COS5","combined_pvalue","adjusted_pvalue"
"ELOF1",0.0275846036554053,0.27361100072987,0.00105176207683951,0.0608421367128175,8.39013705605828e-05,0.36715950267001,2.33683438759623e-05,0.702185415925751,1.50398452441964e-05,0.0684414866102567,8.18189419906634e-05,0.0171193781219782
"RPL27A",7.36436387097146e-05,0.0364614605457195,2.26500083241669e-07,0.986470029023641,4.67767354159336e-08,0.137105177809545,7.72283587596872e-08,0.991613893087727,1.83614549788715e-07,0.0049042515624419,2.26236232858668e-07,8.9978500524756e-05
"HNRNPA2B1",0.00201839650637848,0.0947868509039216,8.98996355718152e-05,0.697705267537929,2.89189179308662e-05,0.290372483574788,4.93160359216925e-05,0.531638505017614,0.000157487323956103,0.0817502080936239,0.000137272955163859,0.0258051851233983
"ANTXR1",5.7459467680728e-08,0.0616280971624772,1.57395852018322e-12,0.471856788565264,2.18872967054776e-13,0.687803872867443,1.3394472365057e-10,0.798389697286669,5.37554367256163e-08,0.337097113026929,1.91913152036705e-12,2.14782179013205e-09
"GGCT",0.000680849606840795,0.0565291398989501,3.37575370958063e-05,0.540277740018525,2.76625047043531e-05,0.444957824923643,9.52679794243969e-05,0.399411624547418,0.000274278813799389,0.0738566442150569,0.000122825389865522,0.0232710723230109
"FABP5",0.00147877900148149,0.550809974208107,0.00016443102840305,0.303051902376594,2.06140926020402e-05,0.812639400478401,3.07054389414752e-05,0.159180217836315,0.000153515254921005,0.54822271282014,0.000105985941108888,0.0204838164037346
"RPL11",5.28208527719332e-07,0.0174249555577836,1.06985680361368e-06,0.676741154177166,0.000330980113499318,0.604985975864793,0.0316294426815169,0.0164972296733209,0.105237734834348,0.000600179888719976,3.53015194609618e-06,0.00105518712630058
"THBS2",1.01287928184562e-10,0.0717889153875284,2.32278826650127e-14,0.999660024654331,3.63377238373509e-14,0.728176082712165,1.61292144e-11,0.565010626542584,4.33358956411512e-09,0.105477046372373,1.41442413337245e-13,1.89077180806262e-10
"CD81",2.82876033249117e-06,0.0965925249361964,1.66352533949657e-08,0.830131807915206,1.43818080171913e-09,0.648610684696143,3.55584501336271e-09,0.413814872154632,5.1165290899075e-08,0.26589390911854,9.46466638396259e-09,5.17588477251584e-06
"COL1A2",1.41244847529758e-26,0.00359741353351492,1.47530439862843e-36,0.996829463446463,5.26685723199696e-37,0.730595139415242,5.43920886868826e-31,0.600780988335654,1.16448885497137e-24,0.551090288510289,5.55e-17,1.90777392487626e-13
"ZG16B",0.0189104753994217,0.161564549908584,0.000332976761268386,0.227747584217041,1.55244891955052e-05,0.611780580276847,2.5677844150165e-05,0.940453495497009,0.000126744161694291,0.625276701615357,8.74932052511435e-05,0.0180265815000246
"APOE",0.000210332086038805,0.0430351434944011,2.5305521887513e-05,0.869067063674328,0.000406450420429757,0.281211189035144,0.00387558934089112,0.482729341237772,0.010281647354194,0.00107851164007989,0.000208190788036688,0.0363006488798908
"TIMP3",5.73338067627573e-05,0.00782692545693042,1.2732277121335e-05,0.733882988423848,8.36497083056895e-05,0.0429147060519391,0.000889498271485066,0.370908454922873,0.00389887840115647,0.0453248928801375,9.13334593857229e-05,0.0183905182403225
"C1S",0.00011062317320767,0.0604341903016916,4.26904146399364e-07,0.915508829949896,5.51625595130092e-08,0.548364879500349,5.10996293099018e-07,0.966611748658044,1.04808002634405e-05,0.60927047773284,4.4381184427511e-07,0.000159388157816729
"NIPAL2",0.00339340152853505,0.156318722893163,4.94031376180165e-05,0.479336418315204,1.34123265687633e-05,0.828948979904614,8.46907736256645e-05,0.34274259275581,0.000697555799633085,0.274844441513889,9.2301150909524e-05,0.018507507198793
"ADAM15",0.0003829980079511,0.7720161718798,1.68250774775535e-05,0.241542696287935,4.82568885271226e-06,0.979088888525546,1.64370999066673e-05,0.0606429250511163,8.98836652020793e-05,0.485811985618347,2.9308132317829e-05,0.00701704153752753
"AZGP1",3.13491407844254e-11,0.041163718769618,4.43988963049516e-15,0.74187056046939,2.15366985974267e-15,0.946184193413854,3.55128933456971e-13,0.210268685619603,1.1842429876028e-10,0.0920460818436511,1.46549439250521e-14,2.61205524504726e-11
"SYAP1",6.77292813805611e-06,0.0104068603882999,3.29634832534224e-06,0.954742139695515,5.28390415417257e-05,0.0323318257886247,0.00400450300562254,0.142193004583722,0.0321512582721584,0.0452549190130903,2.12606652448821e-05,0.00535680014070965
"COL16A1",0.000207340640966989,0.0555312520612808,1.87684502312575e-05,0.539623095653749,0.000139754518294158,0.75655576790009,0.0060810555794158,0.0639784743935148,0.0618445677574196,0.279918315475364,0.000152737371789335,0.0280547228770617
"PMEPA1",0.000507627915361361,0.4624457817917,1.71298430965324e-05,0.848466166592138,2.42540534576979e-06,0.869830509838008,1.0055194688368e-05,0.346446920049092,0.000164763262234809,0.269516434174575,1.72962004221233e-05,0.00445113804795152
"PODXL2",0.00345028443091709,0.513748083038429,4.64859515992828e-05,0.923449069498137,8.9708882704331e-06,0.909178436404415,2.90455106179005e-05,0.589195103994039,0.000180591633396644,0.136017716210648,5.77294544044094e-05,0.0127927871697284
"CYBA",0.00054687511209899,0.686953970544879,0.00012298531749592,0.971497385138494,7.2871296590526e-05,0.860886752193585,6.33538199612288e-05,0.447359479327035,8.67573093996684e-05,0.00916417666751955,0.0001958517315932,0.034651375022888
"FBLN2",0.000649064481718954,0.0546596301258818,2.74604801506605e-06,0.203321089916979,3.15851078874832e-07,0.474345754542961,3.32067295592882e-06,0.894045635568014,7.46983075465552e-05,0.571239944101635,2.5999058328452e-06,0.000802038066187348
"TPI1",0.0310140381833271,0.113371149806993,0.000846070622589418,0.53535281071479,5.22948638506662e-05,0.371186021844519,5.74024674788741e-05,0.701528345878617,0.000192787215126619,0.481058126739646,0.000232819885586766,0.0400151087310906
"SOD2",3.89124196735518e-11,0.000376745025694096,4.30169349891465e-15,0.986354215521511,3.79781685520737e-15,0.727829534742672,3.01002594164844e-11,0.309623078697713,8.65760309252359e-08,0.651122033807123,1.99840144432528e-14,3.31624568728571e-11
"C3",6.43928625102814e-07,0.00399576964058495,3.54380872786788e-08,0.883604883870913,1.16497347775241e-06,0.599692849876986,0.000884798884792076,0.181298222933074,0.046992650523033,0.0487037571058627,3.26466644606782e-07,0.000125687116784393
"VCAN",8.84033188877748e-10,0.0251797141816454,2.84307920951959e-13,0.899831320997015,1.32360121755536e-13,0.333642013675701,1.68708112752026e-11,0.108404620903557,2.12750106834638e-09,0.460292318708305,8.98170426921752e-13,1.09180940998379e-09
"SERPINA5",7.4871256773855e-08,0.0113338150409136,6.78294778233931e-10,0.885339649705149,8.00375710948492e-09,0.564225472451608,1.68606869499195e-05,0.0460199185864446,0.00266750551353113,0.434340805870739,6.20100193415851e-09,3.55258552495341e-06
"COL1A1",1.1067749661761e-27,0.0060475984463266,4.05390791367954e-37,0.99966020621574,1.79513443591173e-37,0.980900719439571,4.91631491901694e-32,0.467569262917874,5.20975685947227e-26,0.221831635383894,5.55e-17,1.90777392487626e-13
"RTN4",4.47792404537373e-06,0.00774840230843863,1.08719598531408e-07,0.983835919165188,5.42502035197892e-07,0.803769427638461,1.87265407136485e-05,0.693050219051979,0.000186724830942627,0.000733785608794823,8.83019246611383e-07,0.000293853749881315
"SCGB2A2",3.49785813441724e-05,0.0679559665473446,5.54398749876236e-07,0.918859682590266,6.90930784299895e-06,0.978554776632443,0.000385219506066688,0.639974622265242,0.00301313202950053,0.00368534400390977,5.04991687622081e-06,0.00147286264099866
"BSG",0.000305600962368153,0.00822011104952733,3.04068812530643e-06,0.843582103691085,2.88347281399285e-07,0.0941577958823082,1.46183519464312e-06,0.28895634791247,1.52283041253761e-05,0.466550736394788,2.19777651200292e-06,0.000691280104955136
"APOC1",4.60246497378894e-05,0.00131523221774063,2.15780007780277e-06,0.991848627699155,1.0130350426602e-05,0.327289639532021,0.00147898182624062,0.0990669048635528,0.035721768260142,0.151015641252942,1.7087147898831e-05,0.0044209804607819
"FAU",7.52027872537649e-06,0.271258350002454,9.42440650877381e-08,0.360011483506785,8.52926687182975e-09,0.966549284159756,1.40934872674364e-09,0.364216948702618,2.36822529276285e-09,0.00206199313532599,7.9378166262245e-09,4.44185698972228e-06
"CCDC152",0.00199046310211585,0.311938126659844,0.000153706424891828,0.801597864886889,4.32773847614776e-05,0.722538989592322,5.23207658687706e-05,0.0554127714415922,0.000172960743134477,0.0167159759931491,0.000181546470777727,0.0326081836663773
"PSMD8",2.21804099340593e-05,0.340597199941185,1.49729100526803e-07,0.840909657544101,4.98526907977203e-08,0.462732843819191,4.73924906515017e-07,0.432985986543771,6.07316043803946e-06,0.151912647094638,3.44143903374672e-07,0.000131056684558431
"YIF1B",0.000371544191284848,0.104094336967028,3.30781740267288e-05,0.648447572796031,0.000125985833954724,0.853547980556082,0.0026913753846966,0.355444259579997,0.0269232040601953,0.400169662438368,0.000242290397859946,0.0414946250263946
"BCAP31",0.0059910376906175,0.404288890800616,0.000132969795436262,0.788016782684073,1.38344431761448e-05,0.406028443467688,4.37150398554315e-05,0.285947820839913,0.000250171859659199,0.379197775922193,9.35934178789566e-05,0.018507507198793
"ORMDL3",0.000241015203019469,0.0527348638036099,7.17418051245939e-06,0.943907484068963,1.44668971492773e-05,0.777528065480322,0.000186575865950401,0.179618346996695,0.0013386975094588,0.0528228639564003,4.57061264822478e-05,0.0104741088660575
"RDH10",7.10707408917895e-05,0.0409186101766017,1.18406670138448e-06,0.727798048433856,6.87725890846338e-06,0.740660851079744,0.000391718494529203,0.626706692994292,0.00359956539382411,0.0159744439988486,9.93112997438317e-06,0.00265514425761354
